"Keyword","Match Type","Intent","Category"
"stecstats","Exact","Brand","Brand"
"stec stats","Exact","Brand","Brand"
"stecstats.com","Exact","Brand","Brand"
"youth basketball stats app","Broad","Commercial","Stat Tracking"
"basketball stats tracker app","Broad","Commercial","Stat Tracking"
"basketball statistics app","Broad","Commercial","Stat Tracking"
"basketball box score app","Phrase","Commercial","Stat Tracking"
"aau basketball stats app","Phrase","Commercial","Stat Tracking"
"travel basketball stats tracker","Phrase","Commercial","Stat Tracking"
"youth basketball scorebook app","Phrase","Commercial","Stat Tracking"
"basketball stat keeping app","Broad","Commercial","Stat Tracking"
"basketball stats tracking software","Broad","Commercial","Stat Tracking"
"youth sports stats app","Broad","Commercial","Stat Tracking"
"basketball scoring app for coaches","Phrase","Commercial","Stat Tracking"
"live basketball stats app","Phrase","Commercial","Stat Tracking"
"middle school basketball stats app","Phrase","Commercial","Stat Tracking"
"high school basketball stats app","Phrase","Commercial","Stat Tracking"
"basketball stats app iphone","Phrase","Commercial","Stat Tracking"
"basketball stats app ipad","Phrase","Commercial","Stat Tracking"
"free basketball stats app","Phrase","Commercial","Stat Tracking"
"best basketball stats app","Phrase","Commercial","Stat Tracking"
"basketball player stats tracker","Phrase","Commercial","Stat Tracking"
"record youth basketball game","Broad","Informational","Video Recording"
"basketball game recording app","Phrase","Commercial","Video Recording"
"youth basketball video app","Phrase","Commercial","Video Recording"
"film basketball game on phone","Phrase","Informational","Video Recording"
"basketball game film app","Phrase","Commercial","Video Recording"
"record basketball and track stats","Phrase","Commercial","Video Recording"
"basketball highlight reel app","Phrase","Commercial","Highlights"
"youth basketball highlight video","Phrase","Commercial","Highlights"
"automatic basketball highlight reel","Phrase","Commercial","Highlights"
"basketball highlights app","Broad","Commercial","Highlights"
"create basketball highlight video","Phrase","Commercial","Highlights"
"basketball recruitment highlight reel","Phrase","Commercial","Highlights"
"stream youth basketball game","Phrase","Commercial","Live Streaming"
"live stream basketball game phone","Phrase","Commercial","Live Streaming"
"basketball game live stream app","Phrase","Commercial","Live Streaming"
"share basketball game live","Phrase","Commercial","Live Streaming"
"youth sports live streaming app","Broad","Commercial","Live Streaming"
"live stream aau basketball","Phrase","Commercial","Live Streaming"
"aau basketball app","Phrase","Commercial","AAU / Travel Ball"
"aau basketball stats tracker","Phrase","Commercial","AAU / Travel Ball"
"travel basketball app","Phrase","Commercial","AAU / Travel Ball"
"travel ball stats tracker","Phrase","Commercial","AAU / Travel Ball"
"aau basketball parent app","Phrase","Commercial","AAU / Travel Ball"
"club basketball stats app","Phrase","Commercial","AAU / Travel Ball"
"youth basketball coaching app","Phrase","Commercial","Coaching"
"basketball coaching tools app","Phrase","Commercial","Coaching"
"basketball coach stat tracker","Phrase","Commercial","Coaching"
"sideline stats app basketball","Phrase","Commercial","Coaching"
"basketball team management app","Broad","Commercial","Coaching"
"keep stats at basketball game","Phrase","Informational","Coaching"
"basketball app for parents","Phrase","Commercial","Parents"
"youth basketball player tracker","Phrase","Commercial","Parents"
"track my kid basketball stats","Phrase","Commercial","Parents"
"basketball stats for parents","Phrase","Informational","Parents"
"youth athlete stats app","Phrase","Commercial","Parents"
"basketball career stats tracker","Phrase","Commercial","Parents"
"how to track basketball stats","Phrase","Informational","Problem-Aware"
"basketball stats spreadsheet alternative","Phrase","Commercial","Problem-Aware"
"replace paper scorebook basketball","Broad","Commercial","Problem-Aware"
"digital basketball scorebook","Phrase","Commercial","Problem-Aware"
"basketball player development tracking","Phrase","Commercial","Problem-Aware"
"share basketball stats with family","Phrase","Informational","Problem-Aware"
"hudl alternative youth basketball","Phrase","Commercial","Competitor Adjacent"
"statscore basketball app","Broad","Commercial","Competitor Adjacent"
"basketball reference app","Broad","Commercial","Competitor Adjacent"
"gameday basketball app alternative","Broad","Commercial","Competitor Adjacent"
